,0
0,Colorado
1,Connecticut
2,Idaho
3,Illinois
4,Indiana
5,Iowa
6,Kentucky
7,Louisiana
8,Maine
9,Maryland
10,Massachusetts
11,Minnesota
12,Missouri
13,Nevada
14,New Hampshire
15,New Jersey
16,North Carolina
17,Pennsylvania
18,Rhode Island
19,South Carolina
20,Tennessee
21,Utah
22,Vermont
23,West Virginia
24,Wisconsin
